"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Salary","Contract","Fantasy Points","Average Fantasy Points per Game","","","","","","GP","G","A"
"*05w9c*","F","Macklin Celebrini","SJS","F","Act","19","975","Rachat","63","1.54","","","","","","41","22","41"
"*00454*","F","Sidney Crosby","PIT","F","Act","38","8,700","Rachat","45","1.12","","","","","","40","23","22"
"*0579x*","F","Adam Fantilli","CBJ","F","Act","21","950","Rachat","25","0.62","","","","","","40","12","13"
"*05tqt*","F","Wyatt Johnston","DAL","F","Act","22","8,400","Rachat","46","1.12","","","","","","41","20","26"
"*03rh3*","F","Kirill Kaprizov","MIN","F","Act","28","9,000","Rachat","49","1.14","","","","","","43","24","25"
"*02b70*","F","Nikita Kucherov","TBL","F","Act","32","9,500","Rachat","59","1.59","","","","","","37","20","39"
"*05gtp*","F","Dawson Mercer","NJD","F","Act","24","4,000","Rachat","25","0.61","","","","","","41","10","15"
"*05gvo*","F","Matvei Michkov","PHI","F","Act","21","950","Rachat","23","0.57","","","","","","40","9","14"
"*03d12*","F","David Pastrnak","BOS","F","Act","29","11,250","Rachat","45","1.22","","","","","","37","17","28"
"*04dwj*","F","Jason Robertson","DAL","F","Act","26","7,750","Rachat","48","1.17","","","","","","41","24","24"
"*048xc*","F","Nick Suzuki","MTL","F","Act","26","7,875","Rachat","45","1.1","","","","","","41","14","31"
"*04y80*","F","Shane Wright","SEA","F","Act","21","887","Rachat","14","0.36","","","","","","39","6","8"
"*04znw*","D","Brandt Clarke","LAK","D","Act","22","863","Rachat","19","0.47","","","","","","40","5","14"
"*03dug*","D","Tony DeAngelo","NYI","D","Act","30","1,750","Rachat","14","0.33","","","","","","42","1","13"
"*04lbz*","D","Quinn Hughes","MIN","D","Act","26","7,850","Rachat","35","0.95","","","","","","37","3","32"
"*06axy*","D","Artyom Levshunov","CHI","D","Act","20","975","Rachat","19","0.49","","","","","","39","2","17"
"*059e0*","D","Jake Sanderson","OTT","D","Act","23","8,050","Rachat","29","0.72","","","","","","40","8","21"
"*04ye8*","D","Jordan Spence","OTT","D","Act","24","1,500","Rachat","13","0.42","","","","","","31","2","11"
"*04zp9*","F","Mavrik Bourque","DAL","F","Min","23","950","Rachat","13","0.32","","","","","","41","6","7"
"*05gdo*","F","Luke Evangelista","NSH","F","Min","23","3,000","Rachat","30","0.75","","","","","","40","6","24"
"*05lwt*","F","Gage Goncalves","TBL","F","Min","24","1,200","Rachat","13","0.35","","","","","","37","4","9"
"*051yz*","F","Dylan Holloway","STL","F","Min","24","2,290","Rachat","17","0.52","","","","","","33","8","9"
"*05gvq*","F","Seth Jarvis","CAR","F","Min","23","7,420","Rachat","29","0.85","","","","","","34","19","10"
"*0644b*","F","Will Smith","SJS","F","Min","20","950","Rachat","29","0.88","","","","","","33","12","17"
"*058t9*","D","Seamus Casey","NJD","D","Min","21","950","Rachat","0","0","","","","","","2","0","0"
"*05uf7*","D","Emil Lilleberg","TBL","D","Min","24","800","Rachat","6","0.19","","","","","","32","2","4"
"*05oxk*","D","Mason Lohrei","BOS","D","Min","24","3,200","Rachat","15","0.41","","","","","","37","2","13"
"*05y7m*","D","Denton Mateychuk","CBJ","D","Min","21","887","Rachat","19","0.49","","","","","","39","8","11"
"*05yli*","D","Pavel Mintyukov","ANA","D","Min","22","918","Rachat","11","0.31","","","","","","36","5","6"
"*05yms*","D","Sam Rinzel","CHI","D","Min","21","942","Rachat","8","0.29","","","","","","28","1","7"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Salary","Contract","Fantasy Points","Average Fantasy Points per Game","","","","","","GP","W","OL","SHO"
"*05xct*","G","Jet Greaves","CBJ","G","Act","24","813","Rachat","28","1.04","","","","","","27","12","4","0"
"*051wf*","G","Dustin Wolf","CGY","G","Act","24","850","Rachat","33","1.03","","","","","","32","14","1","2"
"*05o01*","G","Sebastian Cossa","DET","G","Min","23","863","Rachat","0","0","","","","","","0","0","0","0"
"*03zul*","G","Filip Gustavsson","MIN","G","Min","27","3,750","Rachat","37","1.42","","","","","","26","14","3","3"
"*04bii*","G","Spencer Knight","CHI","G","Min","24","4,500","Rachat","31","1.07","","","","","","29","12","3","2"
"*05ws3*","G","Niklas Kokko","SEA","G","Min","21","892","Rachat","0","0","","","","","","0","0","0","0"
"*03rfp*","G","Sam Montembeault","MTL","G","Min","29","3,150","Rachat","12","0.75","","","","","","16","6","0","0"

