"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Salary","Contract","Fantasy Points","Average Fantasy Points per Game","","","","","","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","GP","G","A"
"*06rqm*","F","Carter Bear","DET","F","Act","19","975","Rachat","0","0","","","","","","0","-","0","0","0"
"*042ye*","F","Jesper Bratt","NJD","F","Act","27","7,875","Rachat","29","0.78","","","","","","100","50.15","37","6","23"
"*05ui2*","F","Logan Cooley","UTA","F","Act","21","950","Rachat","23","0.79","","","","","","100","115.62","29","14","9"
"*05und*","F","Nikita Grebenkin","PHI","F","Act","22","875","Rachat","6","0.24","","","","","","0","-","25","2","4"
"*04o0h*","F","Dylan Guenther","UTA","F","Act","22","7,143","Rachat","30","0.77","","","","","","100","98.92","39","16","14"
"*05kbo*","F","Marat Khusnutdinov","BOS","F","Act","23","925","Rachat","12","0.36","","","","","","0","-","33","5","7"
"*06rus*","F","Brady Martin","NSH","F","Act","18","975","Rachat","1","0.33","","","","","","0","-","3","0","1"
"*05gd8*","F","Mason McTavish","ANA","F","Act","22","7,000","Rachat","22","0.59","","","","","","85","193.53","37","8","14"
"*051lz*","F","Shane Pinto","OTT","F","Act","25","3,750","Rachat","18","0.67","","","","","","31","265.38","27","12","6"
"*02b3o*","F","Rickard Rakell","PIT","F","Act","32","5,000","Rachat","12","0.75","","","","","","92","154.69","16","4","8"
"*051z0*","F","Tim Stutzle","OTT","F","Act","23","8,350","Rachat","39","1.08","","","","","","100","55.85","36","18","21"
"*05riu*","F","David Tomasek","(N/A)","F","Act","29","1,200","Rachat","5","0.23","","","","","","0","-","22","3","2"
"*04qy3*","D","Martin Fehervary","WSH","D","Act","26","2,675","Rachat","11","0.3","","","","","","8","291.92","37","3","8"
"*01skq*","D","Cam Fowler","STL","D","Act","34","6,500","Rachat","13","0.34","","","","","","100","177.54","38","1","12"
"*04mx6*","D","Kaiden Guhle","MTL","D","Act","23","5,550","Rachat","2","0.4","","","","","","31","279.92","5","1","1"
"*04yu5*","D","Thomas Harley","DAL","D","Act","24","4,000","Rachat","14","0.54","","","","","","100","80.23","26","2","12"
"*05ril*","D","Simon Nemec","NJD","D","Act","21","918","Rachat","18","0.58","","","","","","8","285.46","31","7","11"
"*06hco*","D","Zayne Parekh","CGY","D","Act","19","943","Rachat","1","0.09","","","","","","92","175.69","11","0","1"
"*04ymn*","D","Luke Hughes","NJD","D","Res","22","9,000","Rachat","19","0.51","","","","","","100","105.77","37","3","16"
"*03yg3*","D","Mikhail Sergachev","UTA","D","Res","27","8,500","Rachat","25","0.64","","","","","","100","89.92","39","4","21"
"*03raj*","F","Anthony Beauvillier","WSH","F","Min","28","2,750","Rachat","11","0.3","","","","","","8","290.69","37","6","5"
"*05ylt*","F","Zach Benson","BUF","F","Min","20","950","Rachat","16","0.7","","","","","","15","277.85","23","3","13"
"*03as6*","F","Jared McCann","SEA","F","Min","29","5,000","Rachat","8","0.73","","","","","","85","197.46","11","5","3"
"*05m17*","F","Frank Nazar","CHI","F","Min","21","950","Rachat","21","0.64","","","","","","38","252.39","33","6","15"
"*04uql*","F","Cole Perfetti","WPG","F","Min","23","3,250","Rachat","7","0.33","","","","","","77","215.7","21","2","5"
"*04f0y*","D","Mario Ferraro","SJS","D","Min","27","3,250","Rachat","7","0.19","","","","","","0","-","37","1","6"
"*05ymn*","D","Maveric Lamoureux","UTA","D","Min","21","887","Rachat","1","0.2","","","","","","0","-","5","0","1"
"*05rj3*","D","Tristan Luneau","ANA","D","Min","21","865","Rachat","0","0","","","","","","8","295.31","0","0","0"
"*05rj2*","D","Scott Morrow","NYR","D","Min","23","917","Rachat","3","0.21","","","","","","8","282.46","14","0","3"
"*067yd*","D","David Reinbacher","MTL","D","Min","21","918","Rachat","0","0","","","","","","0","-","0","0","0"
"*06gk0*","D","Matthew Schaefer","NYI","D","Min","18","975","Rachat","24","0.65","","","","","","92","168","37","9","15"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Salary","Contract","Fantasy Points","Average Fantasy Points per Game","","","","","","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","GP","W","OL","SHO"
"*03jw0*","G","Joey Daccord","SEA","G","Act","29","5,000","Rachat","27","1.17","","","","","","100","126.62","23","10","3","2"
"*04qyv*","G","Lukas Dostal","ANA","G","Act","25","6,500","Rachat","27","1.23","","","","","","100","132.85","22","13","1","0"
"*05oxl*","G","Leevi Merilainen","OTT","G","Min","23","1,050","Rachat","8","0.89","","","","","","23","283.92","9","4","0","0"
"*03yxp*","G","Stuart Skinner","PIT","G","Min","27","2,600","Rachat","28","1.08","","","","","","100","122.15","26","11","2","2"

