"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Salary","Contract","Fantasy Points","Average Fantasy Points per Game","","","","","","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","GP","G","A"
"*04f2d*","F","Drake Batherson","OTT","F","Act","27","4,975","Rachat","36","1.09","","","","","","100","131.46","33","14","22"
"*05tv0*","F","Jackson Blake","CAR","F","Act","22","906","Rachat","22","0.61","","","","","","15","268.55","36","10","12"
"*04xec*","F","Matt Boldy","MIN","F","Act","24","7,000","Rachat","43","1.13","","","","","","100","58.46","38","22","21"
"*064r2*","F","Ivan Demidov","MTL","F","Act","20","941","Rachat","30","0.81","","","","","","100","105.69","37","9","21"
"*05rjd*","F","Cutter Gauthier","ANA","F","Act","21","950","Rachat","36","0.97","","","","","","85","205.76","37","18","18"
"*02ybk*","F","Artturi Lehkonen","COL","F","Act","30","4,500","Rachat","29","0.81","","","","","","69","228.92","36","13","16"
"*04qy5*","F","Kirill Marchenko","CBJ","F","Act","25","3,850","Rachat","27","0.84","","","","","","100","104.46","32","11","16"
"*02422*","F","Ryan Nugent-Hopkins","EDM","F","Act","32","5,125","Rachat","31","1.07","","","","","","85","175.69","29","11","20"
"*02un5*","F","Sam Reinhart","FLA","F","Act","30","8,625","Rachat","38","1.06","","","","","","100","38.85","36","19","19"
"*06hcw*","F","Beckett Sennecke","ANA","F","Act","19","943","Rachat","28","0.76","","","","","","0","-","37","11","17"
"*05rj4*","F","Fedor Svechkov","NSH","F","Act","22","925","Rachat","8","0.24","","","","","","0","-","34","1","7"
"*050rc*","F","Dmitry Voronkov","CBJ","F","Act","25","4,175","Rachat","24","0.67","","","","","","31","266.38","36","13","11"
"*015pv*","D","John Carlson","WSH","D","Act","35","8,000","Rachat","29","0.88","","","","","","100","126.77","33","8","21"
"*04ld3*","D","Noah Dobson","MTL","D","Act","25","9,500","Rachat","23","0.62","","","","","","100","86.54","37","6","17"
"*05ubx*","D","Ryker Evans","SEA","D","Act","24","2,050","Rachat","8","0.38","","","","","","8","293.38","21","3","5"
"*04alw*","D","Cale Makar","COL","D","Act","27","9,000","Rachat","43","1.19","","","","","","100","5.38","36","11","32"
"*02ybn*","D","Josh Morrissey","WPG","D","Act","30","6,250","Rachat","29","0.83","","","","","","100","51.85","35","5","24"
"*03klz*","D","Darren Raddysh","TBL","D","Act","29","975","Rachat","27","0.9","","","","","","23","273.15","30","8","19"
"*04y4m*","F","Connor Bedard","CHI","F","Min","20","950","Rachat","44","1.42","","","","","","100","63.46","31","19","25"
"*06loq*","F","Caleb Desnoyers","UTA","F","Min","18","100","Rachat","0","0","","","","","","0","-","0","0","0"
"*06ag2*","F","James Hagens","BOS","F","Min","19","100","Rachat","0","0","","","","","","8","299.92","0","0","0"
"*05rfa*","F","Isaac Howard","EDM","F","Min","21","950","Rachat","3","0.18","","","","","","15","275.54","17","2","1"
"*05tpa*","F","Ville Koivunen","PIT","F","Min","22","806","Rachat","3","0.12","","","","","","15","280.46","24","1","2"
"*0644f*","F","Ryan Leonard","WSH","F","Min","20","950","Rachat","20","0.67","","","","","","31","275.92","30","7","13"
"*04yn0*","F","Connor McMichael","WSH","F","Min","24","2,100","Rachat","19","0.51","","","","","","54","231.76","37","5","14"
"*061im*","F","Michael Misa","SJS","F","Min","18","975","Rachat","3","0.43","","","","","","31","262.46","7","1","2"
"*06hrl*","F","L.J. Mooney","MTL","F","Min","18","100","Rachat","0","0","","","","","","0","-","0","0","0"
"*06axz*","F","Bradly Nadeau","CAR","F","Min","20","887","Rachat","2","0.25","","","","","","8","299.69","8","2","0"
"*06nkc*","F","Jake OBrien","SEA","F","Min","18","975","Rachat","0","0","","","","","","0","-","0","0","0"
"*06kr3*","F","Sam OReilly","TBL","F","Min","19","932","Rachat","0","0","","","","","","0","-","0","0","0"
"*05kei*","F","Lukas Reichel","VAN","F","Min","23","1,200","Rachat","5","0.26","","","","","","8","294.31","19","2","3"
"*04o0g*","F","Marco Rossi","VAN","F","Min","24","5,000","Rachat","14","0.64","","","","","","69","214.92","22","4","10"
"*05ymj*","F","Jimmy Snuggerud","STL","F","Min","21","950","Rachat","11","0.42","","","","","","46","247.93","26","5","6"
"*05rf2*","F","Logan Stankoven","CAR","F","Min","22","814","Rachat","16","0.44","","","","","","62","220.23","36","6","10"
"*06sn9*","D","Kashawn Aitcheson","NYI","D","Min","19","100","Rachat","0","0","","","","","","0","-","0","0","0"
"*042w4*","D","Adam Fox","NYR","D","Min","27","9,500","Rachat","26","0.96","","","","","","100","45.15","27","3","23"
"*01c13*","D","Victor Hedman","TBL","D","Min","35","8,000","Rachat","12","0.67","","","","","","100","56.85","18","0","12"
"*06fzv*","D","Cole Hutson","WSH","D","Min","19","100","Rachat","0","0","","","","","","0","-","0","0","0"
"*03de2*","D","Brandon Montour","SEA","D","Min","31","7,143","Rachat","16","0.59","","","","","","100","126.31","27","6","10"
"*06nke*","D","Jackson Smith","CBJ","D","Min","18","100","Rachat","0","0","","","","","","0","-","0","0","0"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Salary","Contract","Fantasy Points","Average Fantasy Points per Game","","","","","","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","GP","W","OL","SHO"
"*0529k*","G","Yaroslav Askarov","SJS","G","Act","23","2,000","Rachat","25","1.09","","","","","","69","196.77","23","12","1","0"
"*04mdc*","G","Logan Thompson","WSH","G","Act","28","5,850","Rachat","32","1.23","","","","","","100","73.46","26","14","0","2"
"*05oxs*","G","Jakub Dobes","MTL","G","Min","24","965","Rachat","25","1.25","","","","","","23","294.38","20","12","1","0"
"*06j7t*","G","Ilya Nabokov","COL","G","Min","22","975","Rachat","0","0","","","","","","0","-","0","0","0","0"
"*02np7*","G","Anthony Stolarz","TOR","G","Min","31","2,500","Rachat","13","1","","","","","","100","78.85","13","6","1","0"

