"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Salary","Contract","Fantasy Points","Average Fantasy Points per Game","","","","","","GP","G","A"
"*06bao*","F","Denver Barkey","PHI","F","Act","20","863","Rachat","3","0.43","","","","","","7","1","2"
"*03kra*","F","Kyle Connor","WPG","F","Act","29","7,143","Rachat","48","1.2","","","","","","40","19","29"
"*04a9v*","F","Morgan Geekie","BOS","F","Act","27","5,500","Rachat","41","0.98","","","","","","42","25","16"
"*03mn8*","F","Clayton Keller","UTA","F","Act","27","7,150","Rachat","36","0.86","","","","","","42","13","23"
"*03e1n*","F","Adrian Kempe","LAK","F","Act","29","5,500","Rachat","33","0.82","","","","","","40","14","19"
"*06snb*","F","Benjamin Kindel","PIT","F","Act","18","975","Rachat","16","0.43","","","","","","37","8","8"
"*05tur*","F","Matthew Knies","TOR","F","Act","23","7,750","Rachat","36","0.95","","","","","","38","11","25"
"*02un4*","F","Connor McDavid","EDM","F","Act","28","12,500","Rachat","72","1.71","","","","","","42","25","47"
"*049k7*","F","Martin Necas","COL","F","Act","26","6,500","Rachat","53","1.32","","","","","","40","19","34"
"*051tx*","F","Aliaksei Protas","WSH","F","Act","24","3,375","Rachat","31","0.76","","","","","","41","16","15"
"*04ymt*","F","Lucas Raymond","DET","F","Act","23","8,075","Rachat","44","1.07","","","","","","41","11","33"
"*05rjg*","F","Danila Yurov","MIN","F","Act","22","950","Rachat","16","0.44","","","","","","36","6","10"
"*06bmb*","D","Zeev Buium","VAN","D","Act","20","967","Rachat","17","0.41","","","","","","41","4","13"
"*003tz*","D","Brent Burns","COL","D","Act","40","1,000","Rachat","20","0.5","","","","","","40","5","15"
"*05981*","D","Louis Crevier","CHI","D","Act","24","900","Rachat","12","0.3","","","","","","40","3","9"
"*05nzz*","D","Simon Edvinsson","DET","D","Act","22","894","Rachat","15","0.38","","","","","","40","5","10"
"*02nq3*","D","Shayne Gostisbehere","CAR","D","Act","32","3,200","Rachat","29","1","","","","","","29","4","25"
"*051m4*","D","Jackson LaCombe","ANA","D","Act","24","925","Rachat","23","0.56","","","","","","41","6","17"
"*05uh3*","F","Dmitri Buchelnikov","DET","F","Min","22","100","Rachat","0","0","","","","","","0","0","0"
"*06hcr*","F","Igor Chernyshov","SJS","F","Min","20","934","Rachat","8","1","","","","","","8","3","5"
"*06449*","F","Nate Danielson","DET","F","Min","21","887","Rachat","7","0.25","","","","","","28","2","5"
"*05k8c*","F","Tyson Foerster","PHI","F","Min","23","3,750","Rachat","13","0.62","","","","","","21","10","3"
"*05rb9*","F","Conor Geekie","TBL","F","Min","21","887","Rachat","1","0.17","","","","","","6","0","1"
"*042yb*","F","Brandon Hagel","TBL","F","Min","27","6,500","Rachat","36","1","","","","","","36","19","17"
"*06snd*","F","Lynden Lakovic","WSH","F","Min","19","975","Rachat","0","0","","","","","","0","0","0"
"*02yjj*","F","William Nylander","TOR","F","Min","29","11,500","Rachat","41","1.24","","","","","","33","14","27"
"*06axe*","F","Gabe Perreault","NYR","F","Min","20","942","Rachat","5","0.5","","","","","","10","1","4"
"*06maz*","F","Ilya Protas","WSH","F","Min","19","857","Rachat","0","0","","","","","","0","0","0"
"*05w9b*","F","Calum Ritchie","NYI","F","Min","20","918","Rachat","10","0.32","","","","","","31","6","4"
"*06hcs*","F","Ryder Ritchie","MIN","F","Min","19","100","Rachat","0","0","","","","","","0","0","0"
"*03as9*","F","Dylan Strome","WSH","F","Min","28","5,000","Rachat","33","0.82","","","","","","40","10","23"
"*04apb*","F","Robert Thomas","STL","F","Min","26","8,125","Rachat","30","0.77","","","","","","39","10","20"
"*06ay2*","D","Luca Cagnoni","SJS","D","Min","21","895","Rachat","0","0","","","","","","0","0","0"
"*06amv*","D","Sam Dickinson","SJS","D","Min","19","943","Rachat","4","0.12","","","","","","32","1","3"
"*06ay0*","D","Caden Price","SEA","D","Min","20","835","Rachat","0","0","","","","","","0","0","0"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Salary","Contract","Fantasy Points","Average Fantasy Points per Game","","","","","","GP","W","OL","SHO"
"*02o7s*","G","Connor Hellebuyck","WPG","G","Act","32","8,500","Rachat","21","0.91","","","","","","23","9","3","0"
"*03rih*","G","Karel Vejmelka","UTA","G","Act","29","4,750","Rachat","38","1.23","","","","","","31","17","2","1"
"*068yu*","G","Trey Augustine","DET","G","Min","20","100","Rachat","0","0","","","","","","0","0","0","0"
"*04r06*","G","Samuel Ersson","PHI","G","Min","26","1,450","Rachat","14","0.93","","","","","","15","6","2","0"
"*0222k*","G","Darcy Kuemper","LAK","G","Min","35","5,250","Rachat","26","1.04","","","","","","25","10","2","2"
"*061i2*","G","Sergei Murashov","PIT","G","Min","21","861","Rachat","6","1.2","","","","","","5","1","2","1"

