"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Salary","Contract","Fantasy Points","Average Fantasy Points per Game","","","","","","GP","G","A"
"*05gd9*","F","Zack Bolduc","MTL","F","Act","22","863","Rachat","17","0.41","","","","","","41","10","7"
"*04zj8*","F","Bobby Brink","PHI","F","Act","24","1,500","Rachat","20","0.5","","","","","","40","11","9"
"*04lo0*","F","Quinton Byfield","LAK","F","Act","23","6,250","Rachat","23","0.59","","","","","","39","6","17"
"*04zo0*","F","Pavel Dorofeyev","VGK","F","Act","25","1,835","Rachat","29","0.74","","","","","","39","16","13"
"*02yjl*","F","Leon Draisaitl","EDM","F","Act","30","14,000","Rachat","57","1.36","","","","","","42","20","37"
"*05ui4*","F","Dalibor Dvorsky","STL","F","Act","20","887","Rachat","9","0.27","","","","","","33","6","3"
"*05kua*","F","Emil Heineman","NYI","F","Act","24","1,100","Rachat","20","0.48","","","","","","42","13","7"
"*003kg*","F","Patrick Kane","DET","F","Act","37","3,000","Rachat","24","0.86","","","","","","28","6","18"
"*05r50*","F","Mackie Samoskevich","FLA","F","Act","23","775","Rachat","18","0.47","","","","","","38","4","14"
"*02unz*","F","Nick Schmaltz","UTA","F","Act","29","5,850","Rachat","36","0.86","","","","","","42","14","22"
"*01c12*","F","John Tavares","TOR","F","Act","35","4,388","Rachat","37","0.9","","","","","","41","15","22"
"*03d09*","F","Alex Tuch","BUF","F","Act","29","4,750","Rachat","32","0.82","","","","","","39","12","20"
"*04lc0*","D","Evan Bouchard","EDM","D","Act","26","10,500","Rachat","38","0.9","","","","","","42","8","30"
"*03rf8*","D","Vince Dunn","SEA","D","Act","29","7,350","Rachat","20","0.53","","","","","","38","5","15"
"*01f3d*","D","Oliver Ekman-Larsson","TOR","D","Act","34","3,500","Rachat","25","0.61","","","","","","41","7","18"
"*02noq*","D","Mike Matheson","MTL","D","Act","31","4,875","Rachat","18","0.47","","","","","","38","4","14"
"*067xz*","D","Axel Sandin Pellikka","DET","D","Act","20","918","Rachat","15","0.35","","","","","","43","4","11"
"*04zb4*","D","Moritz Seider","DET","D","Act","24","8,550","Rachat","31","0.72","","","","","","43","7","24"
"*066on*","F","Michael Brandsegg-Nygard","DET","F","Min","20","943","Rachat","1","0.11","","","","","","9","0","1"
"*03eb0*","F","Ryan Donato","CHI","F","Min","29","4,000","Rachat","18","0.44","","","","","","41","10","8"
"*05gda*","F","Kent Johnson","CBJ","F","Min","23","1,800","Rachat","11","0.28","","","","","","39","3","8"
"*05xrx*","F","Marco Kasper","DET","F","Min","21","887","Rachat","6","0.14","","","","","","42","3","3"
"*06hj9*","F","Porter Martone","PHI","F","Min","19","100","Rachat","0","0","","","","","","0","0","0"
"*05r1b*","F","Rutger McGroarty","PIT","F","Min","21","950","Rachat","3","0.19","","","","","","16","2","1"
"*06imm*","F","Roger McQueen","ANA","F","Min","19","100","Rachat","0","0","","","","","","0","0","0"
"*06spu*","F","Alexander Zharovsky","MTL","F","Min","18","100","Rachat","0","0","","","","","","0","0","0"
"*04xef*","D","Philip Broberg","STL","D","Min","24","4,581","Rachat","13","0.3","","","","","","43","2","11"
"*05riz*","D","David Jiricek","MIN","D","Min","22","918","Rachat","0","0","","","","","","18","0","0"
"*05tqu*","D","Logan Mailloux","STL","D","Min","22","875","Rachat","2","0.07","","","","","","28","1","1"
"*06pyp*","D","Radim Mrtka","BUF","D","Min","18","975","Rachat","0","0","","","","","","0","0","0"
"*05kub*","D","Shakir Mukhamadullin","SJS","D","Min","23","1,000","Rachat","6","0.26","","","","","","23","2","4"
"*05lu8*","D","Alexander Nikishin","CAR","D","Min","24","925","Rachat","16","0.4","","","","","","40","5","11"
"*03dde*","D","Jake Walman","EDM","D","Min","29","3,400","Rachat","10","0.59","","","","","","17","3","7"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Salary","Contract","Fantasy Points","Average Fantasy Points per Game","","","","","","GP","W","OL","SHO"
"*03mbn*","G","Mackenzie Blackwood","COL","G","Act","29","5,250","Rachat","31","1.94","","","","","","16","13","1","2"
"*03rfo*","G","Daniel Vladar","PHI","G","Act","28","3,350","Rachat","32","1.33","","","","","","24","15","2","0"
"*04yi4*","G","Pyotr Kochetkov","CAR","G","Res","26","2,000","Rachat","14","1.56","","","","","","9","6","0","1"
"*01zs1*","G","Scott Wedgewood","COL","G","Res","33","1,500","Rachat","41","1.64","","","","","","25","18","1","2"
"*03mkm*","G","Adin Hill","VGK","G","Min","29","6,250","Rachat","3","0.6","","","","","","5","1","1","0"
"*04qzc*","G","Joel Hofer","STL","G","Min","25","3,400","Rachat","26","1.13","","","","","","23","9","2","3"

