"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Salary","Contract","Fantasy Points","Average Fantasy Points per Game","","","","","","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","GP","G","A"
"*00qs7*","F","Jamie Benn","DAL","F","Act","36","1,000","Rachat","14","0.74","","","","","","8","278.31","19","7","7"
"*05y3a*","F","Leo Carlsson","ANA","F","Act","21","950","Rachat","41","1.14","","","","","","46","238.7","36","17","24"
"*04mv2*","F","Cole Caufield","MTL","F","Act","24","7,850","Rachat","36","0.97","","","","","","100","66.92","37","18","18"
"*05r1l*","F","William Eklund","SJS","F","Act","23","863","Rachat","22","0.67","","","","","","85","169.61","33","8","14"
"*01f64*","F","Marcus Johansson","MIN","F","Act","35","800","Rachat","28","0.78","","","","","","8","290.08","36","11","17"
"*02f9l*","F","Nathan MacKinnon","COL","F","Act","30","12,600","Rachat","61","1.69","","","","","","100","3.31","36","30","31"
"*03jvu*","F","Mitch Marner","VGK","F","Act","28","12,000","Rachat","38","1.09","","","","","","100","18.23","35","9","29"
"*03ee4*","F","Victor Olofsson","COL","F","Act","30","1,575","Rachat","19","0.53","","","","","","8","293.61","36","7","12"
"*02azb*","F","Mark Scheifele","WPG","F","Act","32","8,500","Rachat","43","1.23","","","","","","100","72.54","35","17","26"
"*05r1c*","F","Juraj Slafkovsky","MTL","F","Act","21","7,600","Rachat","25","0.68","","","","","","100","155.38","37","11","14"
"*03rik*","F","Troy Terry","ANA","F","Act","28","7,000","Rachat","35","0.95","","","","","","54","255.23","37","10","25"
"*04y8g*","F","Trevor Zegras","PHI","F","Act","24","5,750","Rachat","37","1.03","","","","","","77","221.08","36","15","22"
"*05ybo*","D","Nick Blankenburg","NSH","D","Act","27","775","Rachat","15","0.58","","","","","","8","295.38","26","4","11"
"*05wwg*","D","Lane Hutson","MTL","D","Act","21","950","Rachat","35","0.95","","","","","","100","48.62","37","5","30"
"*04zox*","D","Kaedan Korczak","VGK","D","Act","24","825","Rachat","8","0.23","","","","","","8","291.46","35","3","5"
"*06age*","D","Sam Malinski","COL","D","Act","27","1,400","Rachat","18","0.5","","","","","","8","296.61","36","3","15"
"*04n4n*","D","Rasmus Sandin","WSH","D","Act","25","4,600","Rachat","10","0.32","","","","","","8","284.93","31","2","8"
"*05tas*","D","Olen Zellweger","ANA","D","Act","22","844","Rachat","15","0.42","","","","","","38","268.85","36","5","10"
"*03924*","F","Jack Eichel","VGK","F","Res","29","10,000","Rachat","41","1.32","","","","","","100","18.77","31","12","29"
"*04mq0*","F","Matt Savoie","EDM","F","Res","21","887","Rachat","12","0.32","","","","","","15","275.08","38","7","5"
"*03ra7*","D","Zach Werenski","CBJ","D","Res","28","9,583","Rachat","40","1.14","","","","","","100","27","35","14","26"
"*05ymo*","F","Owen Beck","MTL","F","Min","21","853","Rachat","1","0.11","","","","","","0","-","9","1","0"
"*065nx*","F","Berkly Catton","SEA","F","Min","19","943","Rachat","5","0.23","","","","","","8","280.54","22","0","5"
"*06jhd*","F","Anton Frondell","CHI","F","Min","18","975","Rachat","0","0","","","","","","8","289.46","0","0","0"
"*051um*","F","Arseny Gritsyuk","NJD","F","Min","24","925","Rachat","16","0.48","","","","","","23","279.15","33","7","9"
"*064om*","F","Michael Hage","MTL","F","Min","19","100","Rachat","0","0","","","","","","0","-","0","0","0"
"*06jhc*","F","Tij Iginla","UTA","F","Min","19","943","Rachat","0","0","","","","","","0","-","0","0","0"
"*04r0p*","F","Nikolai Kovalenko","(N/A)","F","Min","26","100","Rachat","0","0","","","","","","0","-","0","0","0"
"*05xcm*","F","Jonathan Lekkerimaki","VAN","F","Min","21","918","Rachat","2","0.25","","","","","","15","292.31","8","1","1"
"*04uqa*","F","Vasily Podkolzin","EDM","F","Min","24","1,000","Rachat","16","0.42","","","","","","8","285.23","38","9","7"
"*05ymq*","F","Matthew Poitras","BOS","F","Min","21","870","Rachat","0","0","","","","","","0","-","0","0","0"
"*04mv1*","F","Ryan Suzuki","CAR","F","Min","24","775","Rachat","0","0","","","","","","0","-","0","0","0"
"*06cfs*","F","Florian Xhekaj","MTL","F","Min","21","867","Rachat","1","0.2","","","","","","0","-","5","0","1"
"*060hp*","D","Lian Bichsel","DAL","D","Min","21","918","Rachat","3","0.12","","","","","","38","258.46","26","1","2"
"*060j7*","D","Isaiah George","NYI","D","Min","21","838","Rachat","0","0","","","","","","0","-","0","0","0"
"*06mis*","D","Niilopekka Muhonen","DAL","D","Min","19","850","Rachat","0","0","","","","","","0","-","0","0","0"
"*031nx*","D","Shea Theodore","VGK","D","Min","30","7,425","Rachat","20","0.65","","","","","","100","73.08","31","4","16"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Salary","Contract","Fantasy Points","Average Fantasy Points per Game","","","","","","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","GP","W","OL","SHO"
"*0457k*","G","Jake Oettinger","DAL","G","Act","27","8,250","Rachat","38","1.58","","","","","","100","13.38","24","16","2","2"
"*04yg5*","G","Jesper Wallstedt","MIN","G","Act","23","2,200","Rachat","30","2.14","","","","","","8","291.08","14","10","2","4"
"*068yz*","G","Jacob Fowler","MTL","G","Min","21","923","Rachat","9","1.8","","","","","","8","300.31","5","3","1","1"
"*0457i*","G","Ukko-Pekka Luukkonen","BUF","G","Min","26","4,750","Rachat","11","1","","","","","","92","147.69","11","5","1","0"

