Player,Team,Position,Jersey#,H(f),W(lbs),Age,Country,Flag,FlagISO2,Draft Year,Status,UFA Year,Cap Hit,NHL GP,NHL G,NHL A,NHL P,GP,G,A,P,NHL SV%,NHL GAA,Length,Level,Start Year,Signing Status,Expiry Year,Expiry Status,_source,sr_player_urn,nhl_id,sr_country_code3,sr_nationality,sr_dob,sr_height_cm,sr_weight_kg,sr_position_type,sr_jersey_number,sr_team_id,sr_team_name,sr_last_sync,nhl_gp,nhl_g,nhl_a,nhl_pts,nhl_plus_minus,nhl_pim,nhl_ppp,nhl_shp,nhl_gwg,nhl_sog,nhl_sh_pct,nhl_hits,nhl_blk,nhl_toi_avg,nhl_fo_pct,nhl_w,nhl_l,nhl_otl,nhl_gaa,nhl_sv_pct,nhl_so,nhl_saves,nhl_sa,nhl_ga,nhl_last_stats_sync
"Zucker, Jason",BUF,F,17,"5'11""",198,33,USA,https://flagcdn.com/w40/us.png,US,2010,Yr 1 of 2,2019,4 750 000 $,791,226,215,441,21,9,9,18,0,0,2,STD,2025-26,UFA,2026-27,UFA,Hockey_Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zuccarello, Mats",MIN,F,36,"5'8""",181,38,NOR,https://flagcdn.com/w40/no.png,NO,0,Yr 2 of 2,2015,4 125 000 $,924,220,486,706,20,3,13,16,0,0,2,STD,2024-25,UFA,2025-26,UFA,Hockey_Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zub, Artyom",,,2,"6'2""",203,30,RUS,https://flagcdn.com/w40/ru.png,RU,0,Yr 3 of 4,2023,4 600 000 $,343,22,74,96,37,3,9,12,0,0,4,STD,2023-24,UFA,2026-27,UFA,PuckPedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ziemmer, Koehn",LAK,F,89,"6'1""",201,21,CAN,https://flagcdn.com/w40/ca.png,CA,2023,Yr 1 of 3,2032,816 666 $,0,0,0,0,0,0,0,0,0,0,3,ELC,2025-26,,2027-28,RFA,Hockey_Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zibanejad, Mika",NYR,F,93,"6'2""",203,32,SWE,https://flagcdn.com/w40/se.png,SE,2011,Yr 4 of 8,2019,8 500 000 $,970,326,443,769,40,12,17,29,0,0,8,STD,2022-23,UFA,2029-30,UFA,Hockey_Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhilkin, Danny",WPG,F,53,"6'1""",196,22,CAN,https://flagcdn.com/w40/ca.png,CA,2022,Yr 2 of 3,2031,803 333 $,0,0,0,0,0,0,0,0,0,0,3,ELC,2024-25,,2026-27,RFA,Hockey_Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zetterlund, Fabian",OTT,F,20,"5'11""",220,26,SWE,https://flagcdn.com/w40/se.png,SE,2017,Yr 1 of 3,2027,4 275 000 $,285,61,72,133,38,9,8,17,0,0,3,STD,2025-26,RFA+ARB,2027-28,UFA,Hockey_Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zellweger, Olen",ANA,D,51,"5'10""",194,22,CAN,https://flagcdn.com/w40/ca.png,CA,2021,Yr 3 of 3,2031,844 167 $,126,14,30,44,38,5,10,15,0,0,3,ELC,2023-24,,2025-26,RFA,Hockey_Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zegras, Trevor",PHI,F,46,"6'0""",185,24,USA,https://flagcdn.com/w40/us.png,US,2019,Yr 3 of 3,2028,5 750 000 $,305,82,141,223,37,15,22,37,0,0,3,STD,2023-24,RFA,2025-26,RFA+ARB,Hockey_Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zary, Connor",CGY,F,47,"6'0""",179,24,CAN,https://flagcdn.com/w40/ca.png,CA,2020,Yr 1 of 3,2029,3 775 000 $,154,32,40,72,37,5,6,11,0,0,3,STD,2025-26,RFA,2027-28,RFA+ARB,Hockey_Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
