Player,Team,Position,Jersey#,H(f),W(lbs),Age,Country,Flag,FlagISO2,Draft Year,Status,UFA Year,Cap Hit,NHL GP,NHL G,NHL A,NHL P,GP,G,A,P,NHL SV%,NHL GAA,Length,Level,Start Year,Signing Status,Expiry Year,Expiry Status,_source,sr_player_urn,nhl_id,sr_country_code3,sr_nationality,sr_dob,sr_height_cm,sr_weight_kg,sr_position_type,sr_jersey_number,sr_team_id,sr_team_name,sr_last_sync,nhl_gp,nhl_g,nhl_a,nhl_pts,nhl_plus_minus,nhl_pim,nhl_ppp,nhl_shp,nhl_gwg,nhl_sog,nhl_sh_pct,nhl_hits,nhl_blk,nhl_toi_avg,nhl_fo_pct,nhl_w,nhl_l,nhl_otl,nhl_gaa,nhl_sv_pct,nhl_so,nhl_saves,nhl_sa,nhl_ga,nhl_last_stats_sync,NHL_ID,_src_players,Player_pp,Age_pp,Country_pp,Pos,Jersey#_pp,W(lbs)_pp,H(f)_pp,UFA Year_pp,Draft Year_pp,NHL GP_pp,NHL G_pp,NHL A_pp,NHL P_pp,NHL PPG,NHL SV%_pp,NHL GAA_pp,Status_pp,Length_pp,Level_pp,Cap Hit_pp,Start Year_pp,Signing Status_pp,Expiry Year_pp,Expiry Status_pp,GP_pp,G_pp,A_pp,P_pp,plus/moins,Unnamed: 29,Unnamed: 30,_src_puckpedia,DOB,_src_nhl,_updated_at_utc
"Zucker, Jason",BUF,F,17,"5'11""",198,33,USA,https://flagcdn.com/w40/us.png,US,2010,Yr 1 of 2,2019,4 750 000 $,791,226,215,441,21,9,9,18,0,0,2,STD,2025-26,UFA,2026-27,UFA,Hockey_Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hockey.players.csv,"Zucker, Jason",33.0,USA,L,17.0,198.0,"5'11""",2019.0,2010.0,791.0,226.0,215.0,441.0,0.56,,,Yr 1 of 2,2.0,STD,"$4,750,000",2025-26,UFA,2026-27,UFA,21.0,9.0,9.0,18.0,-10.0,,,PuckPedia2025_26.csv,,NHL_API,2026-02-01T22:17:33+00:00
"Zuccarello, Mats",MIN,F,36,"5'8""",181,38,NOR,https://flagcdn.com/w40/no.png,NO,0,Yr 2 of 2,2015,4 125 000 $,924,220,486,706,20,3,13,16,0,0,2,STD,2024-25,UFA,2025-26,UFA,Hockey_Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hockey.players.csv,"Zuccarello, Mats",38.0,NOR,R,36.0,181.0,"5'8""",2015.0,,924.0,220.0,486.0,706.0,0.76,,,Yr 2 of 2,2.0,STD,"$4,125,000",2024-25,UFA,2025-26,UFA,20.0,3.0,13.0,16.0,-3.0,,,PuckPedia2025_26.csv,,NHL_API,2026-02-01T22:17:33+00:00
"Zub, Artyom",,,2,"6'2""",203,30,RUS,https://flagcdn.com/w40/ru.png,RU,0,Yr 3 of 4,2023,4 600 000 $,343,22,74,96,37,3,9,12,0,0,4,STD,2023-24,UFA,2026-27,UFA,PuckPedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hockey.players.csv,"Zub, Artyom",30.0,RUS,D,2.0,203.0,"6'2""",2023.0,,343.0,22.0,74.0,96.0,0.28,,,Yr 3 of 4,4.0,STD,"$4,600,000",2023-24,UFA,2026-27,UFA,37.0,3.0,9.0,12.0,7.0,,,PuckPedia2025_26.csv,,NHL_API,2026-02-01T22:17:33+00:00
"Ziemmer, Koehn",LAK,F,89,"6'1""",201,21,CAN,https://flagcdn.com/w40/ca.png,CA,2023,Yr 1 of 3,2032,816 666 $,0,0,0,0,0,0,0,0,0,0,3,ELC,2025-26,nan,2027-28,RFA,Hockey_Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hockey.players.csv,"Ziemmer, Koehn",21.0,CAN,R,89.0,201.0,"6'1""",2032.0,2023.0,0.0,,,,,,,Yr 1 of 3,3.0,ELC,"$816,666",2025-26,,2027-28,RFA,0.0,0.0,0.0,0.0,0.0,,,PuckPedia2025_26.csv,,NHL_API,2026-02-01T22:17:33+00:00
"Zibanejad, Mika",NYR,F,93,"6'2""",203,32,SWE,https://flagcdn.com/w40/se.png,SE,2011,Yr 4 of 8,2019,8 500 000 $,970,326,443,769,40,12,17,29,0,0,8,STD,2022-23,UFA,2029-30,UFA,Hockey_Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hockey.players.csv,"Zibanejad, Mika",32.0,SWE,C,93.0,203.0,"6'2""",2019.0,2011.0,970.0,326.0,443.0,769.0,0.79,,,Yr 4 of 8,8.0,STD,"$8,500,000",2022-23,UFA,2029-30,UFA,40.0,12.0,17.0,29.0,-10.0,,,PuckPedia2025_26.csv,,NHL_API,2026-02-01T22:17:33+00:00
"Zhilkin, Danny",WPG,F,53,"6'1""",196,22,CAN,https://flagcdn.com/w40/ca.png,CA,2022,Yr 2 of 3,2031,803 333 $,0,0,0,0,0,0,0,0,0,0,3,ELC,2024-25,nan,2026-27,RFA,Hockey_Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hockey.players.csv,"Zhilkin, Danny",22.0,CAN,C,53.0,196.0,"6'1""",2031.0,2022.0,0.0,,,,,,,Yr 2 of 3,3.0,ELC,"$803,333",2024-25,,2026-27,RFA,0.0,0.0,0.0,0.0,0.0,,,PuckPedia2025_26.csv,,NHL_API,2026-02-01T22:17:33+00:00
"Zetterlund, Fabian",OTT,F,20,"5'11""",220,26,SWE,https://flagcdn.com/w40/se.png,SE,2017,Yr 1 of 3,2027,4 275 000 $,285,61,72,133,38,9,8,17,0,0,3,STD,2025-26,RFA+ARB,2027-28,UFA,Hockey_Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hockey.players.csv,"Zetterlund, Fabian",26.0,SWE,L,20.0,220.0,"5'11""",2027.0,2017.0,285.0,61.0,72.0,133.0,0.47,,,Yr 1 of 3,3.0,STD,"$4,275,000",2025-26,RFA+ARB,2027-28,UFA,38.0,9.0,8.0,17.0,-4.0,,,PuckPedia2025_26.csv,,NHL_API,2026-02-01T22:17:33+00:00
"Zellweger, Olen",ANA,D,51,"5'10""",194,22,CAN,https://flagcdn.com/w40/ca.png,CA,2021,Yr 3 of 3,2031,844 167 $,126,14,30,44,38,5,10,15,0,0,3,ELC,2023-24,nan,2025-26,RFA,Hockey_Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hockey.players.csv,"Zellweger, Olen",22.0,CAN,D,51.0,194.0,"5'10""",2031.0,2021.0,126.0,14.0,30.0,44.0,0.35,,,Yr 3 of 3,3.0,ELC,"$844,167",2023-24,,2025-26,RFA,38.0,5.0,10.0,15.0,5.0,,,PuckPedia2025_26.csv,,NHL_API,2026-02-01T22:17:33+00:00
"Zegras, Trevor",PHI,F,46,"6'0""",185,24,USA,https://flagcdn.com/w40/us.png,US,2019,Yr 3 of 3,2028,5 750 000 $,305,82,141,223,37,15,22,37,0,0,3,STD,2023-24,RFA,2025-26,RFA+ARB,Hockey_Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hockey.players.csv,"Zegras, Trevor",24.0,USA,C,46.0,185.0,"6'0""",2028.0,2019.0,305.0,82.0,141.0,223.0,0.73,,,Yr 3 of 3,3.0,STD,"$5,750,000",2023-24,RFA,2025-26,RFA+ARB,37.0,15.0,22.0,37.0,0.0,,,PuckPedia2025_26.csv,,NHL_API,2026-02-01T22:17:33+00:00
"Zary, Connor",CGY,F,47,"6'0""",179,24,CAN,https://flagcdn.com/w40/ca.png,CA,2020,Yr 1 of 3,2029,3 775 000 $,154,32,40,72,37,5,6,11,0,0,3,STD,2025-26,RFA,2027-28,RFA+ARB,Hockey_Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hockey.players.csv,"Zary, Connor",24.0,CAN,C,47.0,179.0,"6'0""",2029.0,2020.0,154.0,32.0,40.0,72.0,0.47,,,Yr 1 of 3,3.0,STD,"$3,775,000",2025-26,RFA,2027-28,RFA+ARB,37.0,5.0,6.0,11.0,-3.0,,,PuckPedia2025_26.csv,,NHL_API,2026-02-01T22:17:33+00:00
