key,change_type,field,before,after
NHL:8476856.0,added,__row__,,"{""Player"": ""Mathew Dumba"", ""Team"": ""PIT"", ""Position"": ""D"", ""Jersey#"": 0, ""H(f)"": """", ""W(lbs)"": 0, ""Age"": 31, ""Country"": """", ""Flag"": """", ""FlagISO2"": """", ""Draft Year"": 0, ""Status"": ""FA"", ""UFA Year"": 0, ""Cap Hit"": ""nan"", ""NHL GP"": 0, ""NHL G"": 0, ""NHL A"": 0, ""NHL P"": 0, ""GP"": 0, ""G"": 0, ""A"": 0, ""P"": 0, ""NHL SV%"": 0, ""NHL GAA"": 0, ""Length"": ""0"", ""Level"": """", ""Start Year"": ""nan"", ""Signing Status"": ""nan"", ""Expiry Year"": ""nan"", ""Expiry Status"": ""nan"", ""_source"": ""Hockey_Players"", ""sr_player_urn"": """", ""nhl_id"": """", ""sr_country_code3"": """", ""sr_nationality"": """", ""sr_dob"": """", ""sr_height_cm"": """", ""sr_weight_kg"": """", ""sr_position_type"": """", ""sr_jersey_number"": """", ""sr_team_id"": """", ""sr_team_name"": """", ""sr_last_sync"": """", ""nhl_gp"": """", ""nhl_g"": """", ""nhl_a"": """", ""nhl_pts"": """", ""nhl_plus_minus"": """", ""nhl_pim"": """", ""nhl_ppp"": """", ""nhl_shp"": """", ""nhl_gwg"": """", ""nhl_sog"": """", ""nhl_sh_pct"": """", ""nhl_hits"": """", ""nhl_blk"": """", ""nhl_toi_avg"": """", ""nhl_fo_pct"": """", ""nhl_w"": """", ""nhl_l"": """", ""nhl_otl"": """", ""nhl_gaa"": """", ""nhl_sv_pct"": """", ""nhl_so"": """", ""nhl_saves"": """", ""nhl_sa"": """", ""nhl_ga"": """", ""nhl_last_stats_sync"": """", ""NHL_ID"": 8476856.0, ""_src_players"": ""hockey.players.csv"", ""Player_pp"": """", ""Age_pp"": """", ""Country_pp"": """", ""Pos"": """", ""Jersey#_pp"": """", ""W(lbs)_pp"": """", ""H(f)_pp"": """", ""UFA Year_pp"": """", ""Draft Year_pp"": """", ""NHL GP_pp"": """", ""NHL G_pp"": """", ""NHL A_pp"": """", ""NHL P_pp"": """", ""NHL PPG"": """", ""NHL SV%_pp"": """", ""NHL GAA_pp"": """", ""Status_pp"": """", ""Length_pp"": """", ""Level_pp"": """", ""Cap Hit_pp"": """", ""Start Year_pp"": """", ""Signing Status_pp"": """", ""Expiry Year_pp"": """", ""Expiry Status_pp"": """", ""GP_pp"": """", ""G_pp"": """", ""A_pp"": """", ""P_pp"": """", ""plus/moins"": """", ""Unnamed: 29"": """", ""Unnamed: 30"": """", ""_src_puckpedia"": """", ""DOB"": """", ""_src_nhl"": ""NHL_API"", ""_updated_at_utc"": ""2026-02-01T22:17:33+00:00""}"
NHL:8477351.0,added,__row__,,"{""Player"": ""Ryan Segalla"", ""Team"": ""PIT"", ""Position"": ""D"", ""Jersey#"": 0, ""H(f)"": """", ""W(lbs)"": 0, ""Age"": 31, ""Country"": """", ""Flag"": """", ""FlagISO2"": """", ""Draft Year"": 0, ""Status"": ""FA"", ""UFA Year"": 0, ""Cap Hit"": ""nan"", ""NHL GP"": 0, ""NHL G"": 0, ""NHL A"": 0, ""NHL P"": 0, ""GP"": 0, ""G"": 0, ""A"": 0, ""P"": 0, ""NHL SV%"": 0, ""NHL GAA"": 0, ""Length"": ""0"", ""Level"": """", ""Start Year"": ""nan"", ""Signing Status"": ""nan"", ""Expiry Year"": ""nan"", ""Expiry Status"": ""nan"", ""_source"": ""Hockey_Players"", ""sr_player_urn"": """", ""nhl_id"": """", ""sr_country_code3"": """", ""sr_nationality"": """", ""sr_dob"": """", ""sr_height_cm"": """", ""sr_weight_kg"": """", ""sr_position_type"": """", ""sr_jersey_number"": """", ""sr_team_id"": """", ""sr_team_name"": """", ""sr_last_sync"": """", ""nhl_gp"": """", ""nhl_g"": """", ""nhl_a"": """", ""nhl_pts"": """", ""nhl_plus_minus"": """", ""nhl_pim"": """", ""nhl_ppp"": """", ""nhl_shp"": """", ""nhl_gwg"": """", ""nhl_sog"": """", ""nhl_sh_pct"": """", ""nhl_hits"": """", ""nhl_blk"": """", ""nhl_toi_avg"": """", ""nhl_fo_pct"": """", ""nhl_w"": """", ""nhl_l"": """", ""nhl_otl"": """", ""nhl_gaa"": """", ""nhl_sv_pct"": """", ""nhl_so"": """", ""nhl_saves"": """", ""nhl_sa"": """", ""nhl_ga"": """", ""nhl_last_stats_sync"": """", ""NHL_ID"": 8477351.0, ""_src_players"": ""hockey.players.csv"", ""Player_pp"": """", ""Age_pp"": """", ""Country_pp"": """", ""Pos"": """", ""Jersey#_pp"": """", ""W(lbs)_pp"": """", ""H(f)_pp"": """", ""UFA Year_pp"": """", ""Draft Year_pp"": """", ""NHL GP_pp"": """", ""NHL G_pp"": """", ""NHL A_pp"": """", ""NHL P_pp"": """", ""NHL PPG"": """", ""NHL SV%_pp"": """", ""NHL GAA_pp"": """", ""Status_pp"": """", ""Length_pp"": """", ""Level_pp"": """", ""Cap Hit_pp"": """", ""Start Year_pp"": """", ""Signing Status_pp"": """", ""Expiry Year_pp"": """", ""Expiry Status_pp"": """", ""GP_pp"": """", ""G_pp"": """", ""A_pp"": """", ""P_pp"": """", ""plus/moins"": """", ""Unnamed: 29"": """", ""Unnamed: 30"": """", ""_src_puckpedia"": """", ""DOB"": """", ""_src_nhl"": ""NHL_API"", ""_updated_at_utc"": ""2026-02-01T22:17:33+00:00""}"
NHL:8478092.0,added,__row__,,"{""Player"": ""Pavel Kraskovsky"", ""Team"": ""(N/A)"", ""Position"": ""F"", ""Jersey#"": 0, ""H(f)"": """", ""W(lbs)"": 0, ""Age"": 29, ""Country"": """", ""Flag"": """", ""FlagISO2"": """", ""Draft Year"": 0, ""Status"": ""FA"", ""UFA Year"": 0, ""Cap Hit"": ""nan"", ""NHL GP"": 0, ""NHL G"": 0, ""NHL A"": 0, ""NHL P"": 0, ""GP"": 0, ""G"": 0, ""A"": 0, ""P"": 0, ""NHL SV%"": 0, ""NHL GAA"": 0, ""Length"": ""0"", ""Level"": """", ""Start Year"": ""nan"", ""Signing Status"": ""nan"", ""Expiry Year"": ""nan"", ""Expiry Status"": ""nan"", ""_source"": ""Hockey_Players"", ""sr_player_urn"": """", ""nhl_id"": """", ""sr_country_code3"": """", ""sr_nationality"": """", ""sr_dob"": """", ""sr_height_cm"": """", ""sr_weight_kg"": """", ""sr_position_type"": """", ""sr_jersey_number"": """", ""sr_team_id"": """", ""sr_team_name"": """", ""sr_last_sync"": """", ""nhl_gp"": """", ""nhl_g"": """", ""nhl_a"": """", ""nhl_pts"": """", ""nhl_plus_minus"": """", ""nhl_pim"": """", ""nhl_ppp"": """", ""nhl_shp"": """", ""nhl_gwg"": """", ""nhl_sog"": """", ""nhl_sh_pct"": """", ""nhl_hits"": """", ""nhl_blk"": """", ""nhl_toi_avg"": """", ""nhl_fo_pct"": """", ""nhl_w"": """", ""nhl_l"": """", ""nhl_otl"": """", ""nhl_gaa"": """", ""nhl_sv_pct"": """", ""nhl_so"": """", ""nhl_saves"": """", ""nhl_sa"": """", ""nhl_ga"": """", ""nhl_last_stats_sync"": """", ""NHL_ID"": 8478092.0, ""_src_players"": ""hockey.players.csv"", ""Player_pp"": """", ""Age_pp"": """", ""Country_pp"": """", ""Pos"": """", ""Jersey#_pp"": """", ""W(lbs)_pp"": """", ""H(f)_pp"": """", ""UFA Year_pp"": """", ""Draft Year_pp"": """", ""NHL GP_pp"": """", ""NHL G_pp"": """", ""NHL A_pp"": """", ""NHL P_pp"": """", ""NHL PPG"": """", ""NHL SV%_pp"": """", ""NHL GAA_pp"": """", ""Status_pp"": """", ""Length_pp"": """", ""Level_pp"": """", ""Cap Hit_pp"": """", ""Start Year_pp"": """", ""Signing Status_pp"": """", ""Expiry Year_pp"": """", ""Expiry Status_pp"": """", ""GP_pp"": """", ""G_pp"": """", ""A_pp"": """", ""P_pp"": """", ""plus/moins"": """", ""Unnamed: 29"": """", ""Unnamed: 30"": """", ""_src_puckpedia"": """", ""DOB"": """", ""_src_nhl"": ""NHL_API"", ""_updated_at_utc"": ""2026-02-01T22:17:33+00:00""}"
NHL:8478136.0,added,__row__,,"{""Player"": ""Jake Middleton"", ""Team"": ""MIN"", ""Position"": ""D"", ""Jersey#"": 0, ""H(f)"": """", ""W(lbs)"": 0, ""Age"": 29, ""Country"": """", ""Flag"": """", ""FlagISO2"": """", ""Draft Year"": 0, ""Status"": ""FA"", ""UFA Year"": 0, ""Cap Hit"": ""nan"", ""NHL GP"": 0, ""NHL G"": 0, ""NHL A"": 0, ""NHL P"": 0, ""GP"": 0, ""G"": 0, ""A"": 0, ""P"": 0, ""NHL SV%"": 0, ""NHL GAA"": 0, ""Length"": ""0"", ""Level"": """", ""Start Year"": ""nan"", ""Signing Status"": ""nan"", ""Expiry Year"": ""nan"", ""Expiry Status"": ""nan"", ""_source"": ""Hockey_Players"", ""sr_player_urn"": """", ""nhl_id"": """", ""sr_country_code3"": """", ""sr_nationality"": """", ""sr_dob"": """", ""sr_height_cm"": """", ""sr_weight_kg"": """", ""sr_position_type"": """", ""sr_jersey_number"": """", ""sr_team_id"": """", ""sr_team_name"": """", ""sr_last_sync"": """", ""nhl_gp"": """", ""nhl_g"": """", ""nhl_a"": """", ""nhl_pts"": """", ""nhl_plus_minus"": """", ""nhl_pim"": """", ""nhl_ppp"": """", ""nhl_shp"": """", ""nhl_gwg"": """", ""nhl_sog"": """", ""nhl_sh_pct"": """", ""nhl_hits"": """", ""nhl_blk"": """", ""nhl_toi_avg"": """", ""nhl_fo_pct"": """", ""nhl_w"": """", ""nhl_l"": """", ""nhl_otl"": """", ""nhl_gaa"": """", ""nhl_sv_pct"": """", ""nhl_so"": """", ""nhl_saves"": """", ""nhl_sa"": """", ""nhl_ga"": """", ""nhl_last_stats_sync"": """", ""NHL_ID"": 8478136.0, ""_src_players"": ""hockey.players.csv"", ""Player_pp"": """", ""Age_pp"": """", ""Country_pp"": """", ""Pos"": """", ""Jersey#_pp"": """", ""W(lbs)_pp"": """", ""H(f)_pp"": """", ""UFA Year_pp"": """", ""Draft Year_pp"": """", ""NHL GP_pp"": """", ""NHL G_pp"": """", ""NHL A_pp"": """", ""NHL P_pp"": """", ""NHL PPG"": """", ""NHL SV%_pp"": """", ""NHL GAA_pp"": """", ""Status_pp"": """", ""Length_pp"": """", ""Level_pp"": """", ""Cap Hit_pp"": """", ""Start Year_pp"": """", ""Signing Status_pp"": """", ""Expiry Year_pp"": """", ""Expiry Status_pp"": """", ""GP_pp"": """", ""G_pp"": """", ""A_pp"": """", ""P_pp"": """", ""plus/moins"": """", ""Unnamed: 29"": """", ""Unnamed: 30"": """", ""_src_puckpedia"": """", ""DOB"": """", ""_src_nhl"": ""NHL_API"", ""_updated_at_utc"": ""2026-02-01T22:17:33+00:00""}"
NHL:8478438.0,added,__row__,,"{""Player"": ""Tommy Novak"", ""Team"": ""PIT"", ""Position"": ""F"", ""Jersey#"": 0, ""H(f)"": """", ""W(lbs)"": 0, ""Age"": 28, ""Country"": """", ""Flag"": """", ""FlagISO2"": """", ""Draft Year"": 0, ""Status"": ""FA"", ""UFA Year"": 0, ""Cap Hit"": ""nan"", ""NHL GP"": 0, ""NHL G"": 0, ""NHL A"": 0, ""NHL P"": 0, ""GP"": 0, ""G"": 0, ""A"": 0, ""P"": 0, ""NHL SV%"": 0, ""NHL GAA"": 0, ""Length"": ""0"", ""Level"": """", ""Start Year"": ""nan"", ""Signing Status"": ""nan"", ""Expiry Year"": ""nan"", ""Expiry Status"": ""nan"", ""_source"": ""Hockey_Players"", ""sr_player_urn"": """", ""nhl_id"": """", ""sr_country_code3"": """", ""sr_nationality"": """", ""sr_dob"": """", ""sr_height_cm"": """", ""sr_weight_kg"": """", ""sr_position_type"": """", ""sr_jersey_number"": """", ""sr_team_id"": """", ""sr_team_name"": """", ""sr_last_sync"": """", ""nhl_gp"": """", ""nhl_g"": """", ""nhl_a"": """", ""nhl_pts"": """", ""nhl_plus_minus"": """", ""nhl_pim"": """", ""nhl_ppp"": """", ""nhl_shp"": """", ""nhl_gwg"": """", ""nhl_sog"": """", ""nhl_sh_pct"": """", ""nhl_hits"": """", ""nhl_blk"": """", ""nhl_toi_avg"": """", ""nhl_fo_pct"": """", ""nhl_w"": """", ""nhl_l"": """", ""nhl_otl"": """", ""nhl_gaa"": """", ""nhl_sv_pct"": """", ""nhl_so"": """", ""nhl_saves"": """", ""nhl_sa"": """", ""nhl_ga"": """", ""nhl_last_stats_sync"": """", ""NHL_ID"": 8478438.0, ""_src_players"": ""hockey.players.csv"", ""Player_pp"": """", ""Age_pp"": """", ""Country_pp"": """", ""Pos"": """", ""Jersey#_pp"": """", ""W(lbs)_pp"": """", ""H(f)_pp"": """", ""UFA Year_pp"": """", ""Draft Year_pp"": """", ""NHL GP_pp"": """", ""NHL G_pp"": """", ""NHL A_pp"": """", ""NHL P_pp"": """", ""NHL PPG"": """", ""NHL SV%_pp"": """", ""NHL GAA_pp"": """", ""Status_pp"": """", ""Length_pp"": """", ""Level_pp"": """", ""Cap Hit_pp"": """", ""Start Year_pp"": """", ""Signing Status_pp"": """", ""Expiry Year_pp"": """", ""Expiry Status_pp"": """", ""GP_pp"": """", ""G_pp"": """", ""A_pp"": """", ""P_pp"": """", ""plus/moins"": """", ""Unnamed: 29"": """", ""Unnamed: 30"": """", ""_src_puckpedia"": """", ""DOB"": """", ""_src_nhl"": ""NHL_API"", ""_updated_at_utc"": ""2026-02-01T22:17:33+00:00""}"
NHL:8478483.0,added,__row__,,"{""Player"": ""Mitch Marner"", ""Team"": ""VGK"", ""Position"": ""F"", ""Jersey#"": 0, ""H(f)"": """", ""W(lbs)"": 0, ""Age"": 28, ""Country"": """", ""Flag"": """", ""FlagISO2"": """", ""Draft Year"": 0, ""Status"": ""HAR"", ""UFA Year"": 0, ""Cap Hit"": ""nan"", ""NHL GP"": 0, ""NHL G"": 0, ""NHL A"": 0, ""NHL P"": 0, ""GP"": 0, ""G"": 0, ""A"": 0, ""P"": 0, ""NHL SV%"": 0, ""NHL GAA"": 0, ""Length"": ""0"", ""Level"": """", ""Start Year"": ""nan"", ""Signing Status"": ""nan"", ""Expiry Year"": ""nan"", ""Expiry Status"": ""nan"", ""_source"": ""Hockey_Players"", ""sr_player_urn"": """", ""nhl_id"": """", ""sr_country_code3"": """", ""sr_nationality"": """", ""sr_dob"": """", ""sr_height_cm"": """", ""sr_weight_kg"": """", ""sr_position_type"": """", ""sr_jersey_number"": """", ""sr_team_id"": """", ""sr_team_name"": """", ""sr_last_sync"": """", ""nhl_gp"": """", ""nhl_g"": """", ""nhl_a"": """", ""nhl_pts"": """", ""nhl_plus_minus"": """", ""nhl_pim"": """", ""nhl_ppp"": """", ""nhl_shp"": """", ""nhl_gwg"": """", ""nhl_sog"": """", ""nhl_sh_pct"": """", ""nhl_hits"": """", ""nhl_blk"": """", ""nhl_toi_avg"": """", ""nhl_fo_pct"": """", ""nhl_w"": """", ""nhl_l"": """", ""nhl_otl"": """", ""nhl_gaa"": """", ""nhl_sv_pct"": """", ""nhl_so"": """", ""nhl_saves"": """", ""nhl_sa"": """", ""nhl_ga"": """", ""nhl_last_stats_sync"": """", ""NHL_ID"": 8478483.0, ""_src_players"": ""hockey.players.csv"", ""Player_pp"": """", ""Age_pp"": """", ""Country_pp"": """", ""Pos"": """", ""Jersey#_pp"": """", ""W(lbs)_pp"": """", ""H(f)_pp"": """", ""UFA Year_pp"": """", ""Draft Year_pp"": """", ""NHL GP_pp"": """", ""NHL G_pp"": """", ""NHL A_pp"": """", ""NHL P_pp"": """", ""NHL PPG"": """", ""NHL SV%_pp"": """", ""NHL GAA_pp"": """", ""Status_pp"": """", ""Length_pp"": """", ""Level_pp"": """", ""Cap Hit_pp"": """", ""Start Year_pp"": """", ""Signing Status_pp"": """", ""Expiry Year_pp"": """", ""Expiry Status_pp"": """", ""GP_pp"": """", ""G_pp"": """", ""A_pp"": """", ""P_pp"": """", ""plus/moins"": """", ""Unnamed: 29"": """", ""Unnamed: 30"": """", ""_src_puckpedia"": """", ""DOB"": """", ""_src_nhl"": ""NHL_API"", ""_updated_at_utc"": ""2026-02-01T22:17:33+00:00""}"
NHL:8478489.0,added,__row__,,"{""Player"": ""Matej Tomek"", ""Team"": ""(N/A)"", ""Position"": ""G"", ""Jersey#"": 0, ""H(f)"": """", ""W(lbs)"": 0, ""Age"": 28, ""Country"": """", ""Flag"": """", ""FlagISO2"": """", ""Draft Year"": 0, ""Status"": ""FA"", ""UFA Year"": 0, ""Cap Hit"": ""nan"", ""NHL GP"": 0, ""NHL G"": 0, ""NHL A"": 0, ""NHL P"": 0, ""GP"": 0, ""G"": 0, ""A"": 0, ""P"": 0, ""NHL SV%"": 0, ""NHL GAA"": 0, ""Length"": ""0"", ""Level"": """", ""Start Year"": ""nan"", ""Signing Status"": ""nan"", ""Expiry Year"": ""nan"", ""Expiry Status"": ""nan"", ""_source"": ""Hockey_Players"", ""sr_player_urn"": """", ""nhl_id"": """", ""sr_country_code3"": """", ""sr_nationality"": """", ""sr_dob"": """", ""sr_height_cm"": """", ""sr_weight_kg"": """", ""sr_position_type"": """", ""sr_jersey_number"": """", ""sr_team_id"": """", ""sr_team_name"": """", ""sr_last_sync"": """", ""nhl_gp"": """", ""nhl_g"": """", ""nhl_a"": """", ""nhl_pts"": """", ""nhl_plus_minus"": """", ""nhl_pim"": """", ""nhl_ppp"": """", ""nhl_shp"": """", ""nhl_gwg"": """", ""nhl_sog"": """", ""nhl_sh_pct"": """", ""nhl_hits"": """", ""nhl_blk"": """", ""nhl_toi_avg"": """", ""nhl_fo_pct"": """", ""nhl_w"": """", ""nhl_l"": """", ""nhl_otl"": """", ""nhl_gaa"": """", ""nhl_sv_pct"": """", ""nhl_so"": """", ""nhl_saves"": """", ""nhl_sa"": """", ""nhl_ga"": """", ""nhl_last_stats_sync"": """", ""NHL_ID"": 8478489.0, ""_src_players"": ""hockey.players.csv"", ""Player_pp"": """", ""Age_pp"": """", ""Country_pp"": """", ""Pos"": """", ""Jersey#_pp"": """", ""W(lbs)_pp"": """", ""H(f)_pp"": """", ""UFA Year_pp"": """", ""Draft Year_pp"": """", ""NHL GP_pp"": """", ""NHL G_pp"": """", ""NHL A_pp"": """", ""NHL P_pp"": """", ""NHL PPG"": """", ""NHL SV%_pp"": """", ""NHL GAA_pp"": """", ""Status_pp"": """", ""Length_pp"": """", ""Level_pp"": """", ""Cap Hit_pp"": """", ""Start Year_pp"": """", ""Signing Status_pp"": """", ""Expiry Year_pp"": """", ""Expiry Status_pp"": """", ""GP_pp"": """", ""G_pp"": """", ""A_pp"": """", ""P_pp"": """", ""plus/moins"": """", ""Unnamed: 29"": """", ""Unnamed: 30"": """", ""_src_puckpedia"": """", ""DOB"": """", ""_src_nhl"": ""NHL_API"", ""_updated_at_utc"": ""2026-02-01T22:17:33+00:00""}"
NHL:8478494.0,added,__row__,,"{""Player"": ""Alexander Dergachyov"", ""Team"": ""(N/A)"", ""Position"": ""F"", ""Jersey#"": 0, ""H(f)"": """", ""W(lbs)"": 0, ""Age"": 29, ""Country"": """", ""Flag"": """", ""FlagISO2"": """", ""Draft Year"": 0, ""Status"": ""FA"", ""UFA Year"": 0, ""Cap Hit"": ""nan"", ""NHL GP"": 0, ""NHL G"": 0, ""NHL A"": 0, ""NHL P"": 0, ""GP"": 0, ""G"": 0, ""A"": 0, ""P"": 0, ""NHL SV%"": 0, ""NHL GAA"": 0, ""Length"": ""0"", ""Level"": """", ""Start Year"": ""nan"", ""Signing Status"": ""nan"", ""Expiry Year"": ""nan"", ""Expiry Status"": ""nan"", ""_source"": ""Hockey_Players"", ""sr_player_urn"": """", ""nhl_id"": """", ""sr_country_code3"": """", ""sr_nationality"": """", ""sr_dob"": """", ""sr_height_cm"": """", ""sr_weight_kg"": """", ""sr_position_type"": """", ""sr_jersey_number"": """", ""sr_team_id"": """", ""sr_team_name"": """", ""sr_last_sync"": """", ""nhl_gp"": """", ""nhl_g"": """", ""nhl_a"": """", ""nhl_pts"": """", ""nhl_plus_minus"": """", ""nhl_pim"": """", ""nhl_ppp"": """", ""nhl_shp"": """", ""nhl_gwg"": """", ""nhl_sog"": """", ""nhl_sh_pct"": """", ""nhl_hits"": """", ""nhl_blk"": """", ""nhl_toi_avg"": """", ""nhl_fo_pct"": """", ""nhl_w"": """", ""nhl_l"": """", ""nhl_otl"": """", ""nhl_gaa"": """", ""nhl_sv_pct"": """", ""nhl_so"": """", ""nhl_saves"": """", ""nhl_sa"": """", ""nhl_ga"": """", ""nhl_last_stats_sync"": """", ""NHL_ID"": 8478494.0, ""_src_players"": ""hockey.players.csv"", ""Player_pp"": """", ""Age_pp"": """", ""Country_pp"": """", ""Pos"": """", ""Jersey#_pp"": """", ""W(lbs)_pp"": """", ""H(f)_pp"": """", ""UFA Year_pp"": """", ""Draft Year_pp"": """", ""NHL GP_pp"": """", ""NHL G_pp"": """", ""NHL A_pp"": """", ""NHL P_pp"": """", ""NHL PPG"": """", ""NHL SV%_pp"": """", ""NHL GAA_pp"": """", ""Status_pp"": """", ""Length_pp"": """", ""Level_pp"": """", ""Cap Hit_pp"": """", ""Start Year_pp"": """", ""Signing Status_pp"": """", ""Expiry Year_pp"": """", ""Expiry Status_pp"": """", ""GP_pp"": """", ""G_pp"": """", ""A_pp"": """", ""P_pp"": """", ""plus/moins"": """", ""Unnamed: 29"": """", ""Unnamed: 30"": """", ""_src_puckpedia"": """", ""DOB"": """", ""_src_nhl"": ""NHL_API"", ""_updated_at_utc"": ""2026-02-01T22:17:33+00:00""}"
NHL:8478840.0,added,__row__,,"{""Player"": ""Will Borgen"", ""Team"": ""NYR"", ""Position"": ""D"", ""Jersey#"": 0, ""H(f)"": """", ""W(lbs)"": 0, ""Age"": 29, ""Country"": """", ""Flag"": """", ""FlagISO2"": """", ""Draft Year"": 0, ""Status"": ""FA"", ""UFA Year"": 0, ""Cap Hit"": ""nan"", ""NHL GP"": 0, ""NHL G"": 0, ""NHL A"": 0, ""NHL P"": 0, ""GP"": 0, ""G"": 0, ""A"": 0, ""P"": 0, ""NHL SV%"": 0, ""NHL GAA"": 0, ""Length"": ""0"", ""Level"": """", ""Start Year"": ""nan"", ""Signing Status"": ""nan"", ""Expiry Year"": ""nan"", ""Expiry Status"": ""nan"", ""_source"": ""Hockey_Players"", ""sr_player_urn"": """", ""nhl_id"": """", ""sr_country_code3"": """", ""sr_nationality"": """", ""sr_dob"": """", ""sr_height_cm"": """", ""sr_weight_kg"": """", ""sr_position_type"": """", ""sr_jersey_number"": """", ""sr_team_id"": """", ""sr_team_name"": """", ""sr_last_sync"": """", ""nhl_gp"": """", ""nhl_g"": """", ""nhl_a"": """", ""nhl_pts"": """", ""nhl_plus_minus"": """", ""nhl_pim"": """", ""nhl_ppp"": """", ""nhl_shp"": """", ""nhl_gwg"": """", ""nhl_sog"": """", ""nhl_sh_pct"": """", ""nhl_hits"": """", ""nhl_blk"": """", ""nhl_toi_avg"": """", ""nhl_fo_pct"": """", ""nhl_w"": """", ""nhl_l"": """", ""nhl_otl"": """", ""nhl_gaa"": """", ""nhl_sv_pct"": """", ""nhl_so"": """", ""nhl_saves"": """", ""nhl_sa"": """", ""nhl_ga"": """", ""nhl_last_stats_sync"": """", ""NHL_ID"": 8478840.0, ""_src_players"": ""hockey.players.csv"", ""Player_pp"": """", ""Age_pp"": """", ""Country_pp"": """", ""Pos"": """", ""Jersey#_pp"": """", ""W(lbs)_pp"": """", ""H(f)_pp"": """", ""UFA Year_pp"": """", ""Draft Year_pp"": """", ""NHL GP_pp"": """", ""NHL G_pp"": """", ""NHL A_pp"": """", ""NHL P_pp"": """", ""NHL PPG"": """", ""NHL SV%_pp"": """", ""NHL GAA_pp"": """", ""Status_pp"": """", ""Length_pp"": """", ""Level_pp"": """", ""Cap Hit_pp"": """", ""Start Year_pp"": """", ""Signing Status_pp"": """", ""Expiry Year_pp"": """", ""Expiry Status_pp"": """", ""GP_pp"": """", ""G_pp"": """", ""A_pp"": """", ""P_pp"": """", ""plus/moins"": """", ""Unnamed: 29"": """", ""Unnamed: 30"": """", ""_src_puckpedia"": """", ""DOB"": """", ""_src_nhl"": ""NHL_API"", ""_updated_at_utc"": ""2026-02-01T22:17:33+00:00""}"
NHL:8479426.0,added,__row__,,"{""Player"": ""Artur Kayumov"", ""Team"": ""CHI"", ""Position"": ""F"", ""Jersey#"": 0, ""H(f)"": """", ""W(lbs)"": 0, ""Age"": 27, ""Country"": """", ""Flag"": """", ""FlagISO2"": """", ""Draft Year"": 0, ""Status"": ""FA"", ""UFA Year"": 0, ""Cap Hit"": ""nan"", ""NHL GP"": 0, ""NHL G"": 0, ""NHL A"": 0, ""NHL P"": 0, ""GP"": 0, ""G"": 0, ""A"": 0, ""P"": 0, ""NHL SV%"": 0, ""NHL GAA"": 0, ""Length"": ""0"", ""Level"": """", ""Start Year"": ""nan"", ""Signing Status"": ""nan"", ""Expiry Year"": ""nan"", ""Expiry Status"": ""nan"", ""_source"": ""Hockey_Players"", ""sr_player_urn"": """", ""nhl_id"": """", ""sr_country_code3"": """", ""sr_nationality"": """", ""sr_dob"": """", ""sr_height_cm"": """", ""sr_weight_kg"": """", ""sr_position_type"": """", ""sr_jersey_number"": """", ""sr_team_id"": """", ""sr_team_name"": """", ""sr_last_sync"": """", ""nhl_gp"": """", ""nhl_g"": """", ""nhl_a"": """", ""nhl_pts"": """", ""nhl_plus_minus"": """", ""nhl_pim"": """", ""nhl_ppp"": """", ""nhl_shp"": """", ""nhl_gwg"": """", ""nhl_sog"": """", ""nhl_sh_pct"": """", ""nhl_hits"": """", ""nhl_blk"": """", ""nhl_toi_avg"": """", ""nhl_fo_pct"": """", ""nhl_w"": """", ""nhl_l"": """", ""nhl_otl"": """", ""nhl_gaa"": """", ""nhl_sv_pct"": """", ""nhl_so"": """", ""nhl_saves"": """", ""nhl_sa"": """", ""nhl_ga"": """", ""nhl_last_stats_sync"": """", ""NHL_ID"": 8479426.0, ""_src_players"": ""hockey.players.csv"", ""Player_pp"": """", ""Age_pp"": """", ""Country_pp"": """", ""Pos"": """", ""Jersey#_pp"": """", ""W(lbs)_pp"": """", ""H(f)_pp"": """", ""UFA Year_pp"": """", ""Draft Year_pp"": """", ""NHL GP_pp"": """", ""NHL G_pp"": """", ""NHL A_pp"": """", ""NHL P_pp"": """", ""NHL PPG"": """", ""NHL SV%_pp"": """", ""NHL GAA_pp"": """", ""Status_pp"": """", ""Length_pp"": """", ""Level_pp"": """", ""Cap Hit_pp"": """", ""Start Year_pp"": """", ""Signing Status_pp"": """", ""Expiry Year_pp"": """", ""Expiry Status_pp"": """", ""GP_pp"": """", ""G_pp"": """", ""A_pp"": """", ""P_pp"": """", ""plus/moins"": """", ""Unnamed: 29"": """", ""Unnamed: 30"": """", ""_src_puckpedia"": """", ""DOB"": """", ""_src_nhl"": ""NHL_API"", ""_updated_at_utc"": ""2026-02-01T22:17:33+00:00""}"
