NHL_ID,Player,Team,Position,Jersey#,DOB,_source
8482515,Artur Akhtyamov,TOR,G,70.0,,nhl_search_api
8485067,Parker Alcos,VAN,D,,,nhl_search_api
8482700,Nolan Allan,SJS,D,7.0,,nhl_search_api
8482496,Nils Aman,VAN,C,88.0,,nhl_search_api
8485039,Nathan Aspinall,NYR,L,95.0,,nhl_search_api
8479402,Jake Bean,CGY,D,24.0,,nhl_search_api
8484836,Ondrej Becher,DET,C,,,nhl_search_api
8477935,Sam Bennett,FLA,C,9.0,,nhl_search_api
8482728,Nate Benoit,MIN,D,,,nhl_search_api
8480879,Jacob Bernard-Docker,DET,D,25.0,,nhl_search_api
8478406,Mackenzie Blackwood,COL,G,39.0,,nhl_search_api
8485583,Vashek Blanar,BOS,D,,,nhl_search_api
8482865,Josh Bloom,VAN,L,62.0,,nhl_search_api
8485377,Sascha Boumedienne,WPG,D,,,nhl_search_api
8482869,Talyn Boyko,NYR,G,40.0,,nhl_search_api
8480196,Jacob Bryson,BUF,D,78.0,,nhl_search_api
8478047,Michael Bunting,NSH,L,58.0,,nhl_search_api
8484840,Hagen Burrows,TBL,R,,,nhl_search_api
8481610,Roman Bychkov,BOS,D,,,nhl_search_api
8483398,Declan Carlile,TBL,D,67.0,,nhl_search_api
8484800,Berkly Catton,SEA,C,27.0,,nhl_search_api
8485054,Aleš Čech,UTA,D,,,nhl_search_api
8484801,Macklin Celebrini,SJS,C,71.0,,nhl_search_api
8485624,Jordan Charron,PIT,R,78.0,,nhl_search_api
8484994,Igor Chernyshov,SJS,L,92.0,,nhl_search_api
8482787,Nikita Chibrikov,WPG,R,90.0,,nhl_search_api
8480990,Declan Chisholm,WSH,D,47.0,,nhl_search_api
8484462,Warren Clark,TBL,D,,,nhl_search_api
8484158,Easton Cowan,TOR,R,53.0,,nhl_search_api
8480075,Cameron Crotty,OTT,D,5.0,,nhl_search_api
8480426,Charle-Edouard D'Astous,TBL,D,51.0,,nhl_search_api
8484984,Ivan Demidov,MTL,R,93.0,,nhl_search_api
8482659,Josh Doan,BUF,R,91.0,,nhl_search_api
8484161,Noah Dower Nilsson,DET,L,,,nhl_search_api
8482521,Kienan Draper,DET,R,,,nhl_search_api
8482663,Dylan Duke,TBL,L,53.0,,nhl_search_api
8484163,Jakub Dvorak,LAK,D,51.0,,nhl_search_api
8478403,Jack Eichel,VGK,C,9.0,,nhl_search_api
8475171,Oliver Ekman-Larsson,TOR,D,95.0,,nhl_search_api
8480834,Ty Emberson,EDM,D,49.0,,nhl_search_api
8477971,Andreas Englund,NSH,D,8.0,,nhl_search_api
8485596,Mikkel Eriksen,NYR,C,,,nhl_search_api
8482146,Luke Evangelista,NSH,R,77.0,,nhl_search_api
